Filename	**REDACTED**
Instrument name	HR20 **REDACTED**
Operator	**REDACTED**
rundate	**REDACTED**
Sample name	**REDACTED**
Geometry name	8 mm parallel plate, ETC Stainless steel, Disposable
Procedure name	Options
	Sample
	Options
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	End of test
proceduresegments	Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#End of test
[step]
Time sweep - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	min	°C	°	rad
1,63056	0,0276900	0,0169820	10,0001	1640,99	12,63	170,00	0,974037	2,00022e-3
1,63164	0,0277630	0,0170154	10,0001	1642,06	12,74	170,01	0,975950	2,00022e-3
1,63248	0,0277365	0,0169904	10,0001	1643,05	12,84	170,00	0,974513	2,00036e-3
1,63403	0,0280364	0,0171578	10,0001	1644,32	12,94	170,00	0,984111	1,99977e-3
1,63487	0,0280004	0,0171269	10,0001	1645,65	13,05	170,00	0,982339	2,00038e-3
1,63581	0,0280331	0,0171372	10,0001	1646,54	13,15	170,01	0,982923	2,00027e-3
1,63672	0,0281137	0,0171769	10,0001	1647,51	13,25	170,01	0,985197	2,00035e-3
1,63766	0,0282114	0,0172267	10,0001	1648,45	13,36	170,01	0,988051	2,00026e-3
1,63870	0,0283059	0,0172733	10,0001	1649,54	13,46	170,00	0,990724	2,00016e-3
1,63961	0,0283298	0,0172784	10,0001	1650,60	13,57	170,00	0,991012	2,00030e-3
1,64059	0,0283444	0,0172769	10,0001	1651,56	13,67	170,00	0,990924	2,00031e-3
1,64155	0,0283883	0,0172936	10,0001	1652,60	13,77	170,01	0,991879	2,00021e-3
1,64244	0,0283837	0,0172815	10,0001	1653,59	13,87	170,00	0,991178	2,00037e-3
1,64332	0,0284849	0,0173337	10,0001	1654,49	13,98	170,00	0,994173	2,00029e-3
1,64445	0,0285541	0,0173639	10,0001	1655,56	14,08	170,00	0,995901	2,00015e-3
1,64518	0,0286051	0,0173872	10,0001	1656,65	14,19	170,00	0,997234	2,00028e-3
1,64696	0,0289712	0,0175907	10,0001	1657,95	14,29	170,00	1,00890	1,99982e-3
1,64769	0,0289291	0,0175574	10,0001	1659,24	14,39	170,00	1,00699	2,00040e-3
1,64858	0,0289344	0,0175511	10,0001	1660,07	14,49	170,00	1,00662	2,00037e-3
1,64949	0,0289808	0,0175695	10,0001	1660,98	14,60	170,00	1,00768	2,00031e-3
1,65041	0,0290565	0,0176056	10,0001	1661,88	14,70	170,01	1,00975	2,00036e-3
1,65137	0,0292476	0,0177111	10,0001	1662,85	14,81	170,01	1,01579	2,00021e-3
1,65184	0,0292571	0,0177118	10,0001	1663,73	14,91	170,00	1,01583	2,00050e-3
1,65342	0,0294368	0,0178036	10,0001	1664,76	15,01	170,00	1,02109	1,99994e-3

[step]
Stress relaxation - 2
Torque	Displacement	Step time	Modulus	Temperature	Axial force	Gap
µN.m	rad	min	MPa	°C	N	µm
-5,79880	0,00000	0,00		170,00	1,01548	795,199
2882,39	1,52765e-6	0,00	3731,16	170,00	1,01973	795,199
15259,6	1,91936e-4	0,00	157,218	170,00	1,02411	795,199
16500,7	1,12281e-3	0,00	29,0612	170,00	1,03226	795,199
6340,96	2,63366e-3	0,00	4,76114	170,00	1,03836	795,199
-1648,20	4,13374e-3	0,00	-0,788463	170,00	1,03816	795,199
-2227,65	5,32301e-3	0,00	-0,827574	170,00	1,03487	795,199
1640,22	6,24741e-3	0,00	0,519181	170,00	1,03154	795,199
4791,88	7,07314e-3	0,00	1,33971	170,00	1,03079	795,199
3366,61	7,86117e-3	0,00	0,846879	170,00	1,02741	795,199
1250,51	8,46045e-3	0,00	0,292286	170,00	1,01937	795,199
1958,17	8,77846e-3	0,00	0,441110	170,00	1,01527	795,199
4608,23	8,88239e-3	0,00	1,02594	170,00	1,01121	795,199
6891,17	8,91053e-3	0,00	1,52934	170,00	1,00880	795,199
7677,27	8,95046e-3	0,00	1,69620	170,00	1,01210	795,199
7471,19	9,01151e-3	0,00	1,63949	170,00	1,01766	795,199
7165,18	9,07137e-3	0,00	1,56196	170,00	1,01833	795,199
7156,55	9,11585e-3	0,00	1,55247	170,00	1,01634	795,199
7349,64	9,14836e-3	0,00	1,58869	170,00	1,01565	795,199
7519,95	9,17853e-3	0,00	1,62016	170,00	1,01397	795,199
7574,19	9,21178e-3	0,00	1,62596	170,00	1,01152	795,199
7563,46	9,24707e-3	0,00	1,61746	170,00	1,01381	795,199
7554,46	9,28239e-3	0,00	1,60938	170,00	1,02058	795,199
7563,86	9,31647e-3	0,00	1,60549	170,00	1,02598	795,199
7592,61	9,34850e-3	0,00	1,60607	170,00	1,02949	795,199
7631,49	9,37892e-3	0,00	1,60906	170,00	1,03394	795,199
7655,20	9,40901e-3	0,00	1,60890	170,00	1,03591	795,199
7663,52	9,43843e-3	0,00	1,60563	170,00	1,03263	795,199
7681,85	9,46583e-3	0,00	1,60481	170,00	1,02959	795,199
7711,78	9,49163e-3	0,00	1,60668	170,00	1,03009	795,199
7731,77	9,51670e-3	0,00	1,60660	170,00	1,02945	795,199
7744,75	9,54056e-3	0,00	1,60528	170,00	1,02875	795,199
7763,19	9,56300e-3	0,00	1,60532	170,00	1,03269	795,199
7777,73	9,58473e-3	0,00	1,60468	170,00	1,03403	795,199
7783,17	9,60553e-3	0,00	1,60233	170,00	1,03363	795,199
7801,33	9,62434e-3	0,00	1,60293	170,00	1,03679	795,199
7826,52	9,64186e-3	0,00	1,60518	170,00	1,04076	795,199
7842,62	9,65876e-3	0,00	1,60567	170,00	1,04071	795,199
7852,81	9,67473e-3	0,00	1,60516	170,00	1,03907	795,227
7866,33	9,68978e-3	0,00	1,60542	170,00	1,03902	795,227
7872,70	9,70452e-3	0,00	1,60428	170,00	1,03692	795,227
7879,30	9,72499e-3	0,00	1,60225	170,00	1,03120	795,227
7903,06	9,74916e-3	0,00	1,60310	170,00	1,03129	795,227
7913,22	9,77103e-3	0,00	1,60156	170,00	1,03418	795,227
7925,64	9,79049e-3	0,00	1,60089	170,00	1,03566	795,227
7942,12	9,80715e-3	0,00	1,60149	170,00	1,03396	795,227
7955,66	9,82193e-3	0,00	1,60181	170,00	1,02384	795,227
7968,89	9,83495e-3	0,00	1,60235	170,00	1,02679	795,227
7967,79	9,84727e-3	0,00	1,60012	170,00	1,03114	795,227
7984,39	9,85741e-3	0,00	1,60181	170,00	1,03464	795,227
7988,34	9,86673e-3	0,00	1,60109	170,00	1,03451	795,227
7993,87	9,87509e-3	0,00	1,60084	170,00	1,02699	795,227
8003,41	9,88209e-3	0,00	1,60161	170,00	1,02535	795,227
7998,69	9,88932e-3	0,00	1,59950	170,00	1,02437	795,227
8005,65	9,89504e-3	0,00	1,59996	170,00	1,03302	795,227
8010,96	9,90002e-3	0,00	1,60022	170,00	1,03339	795,227
8017,00	9,90448e-3	0,00	1,60070	170,00	1,03628	795,227
8010,79	9,90893e-3	0,00	1,59875	170,00	1,03169	795,227
8018,66	9,91238e-3	0,00	1,59976	170,00	1,02228	795,227
8022,53	9,91535e-3	0,00	1,60005	170,00	1,02711	795,227
8014,25	9,91888e-3	0,00	1,59783	170,00	1,03289	795,227
8024,33	9,92096e-3	0,00	1,59951	170,00	1,03911	795,227
8020,66	9,92337e-3	0,00	1,59839	170,00	1,03505	795,227
8022,01	9,92552e-3	0,00	1,59831	170,00	1,03021	795,227
8019,19	9,92744e-3	0,00	1,59744	170,00	1,03236	795,227
8020,40	9,92911e-3	0,00	1,59741	170,00	1,03908	795,227
8024,35	9,93020e-3	0,00	1,59802	170,00	1,04567	795,227
8019,84	9,93167e-3	0,00	1,59689	170,00	1,04088	795,227
8026,71	9,93235e-3	0,00	1,59815	170,00	1,03946	795,227
8018,56	9,93372e-3	0,00	1,59630	170,00	1,03822	795,227
8019,34	9,93479e-3	0,00	1,59629	170,00	1,04068	795,227
8020,73	9,93529e-3	0,00	1,59648	170,00	1,04611	795,227
8022,43	9,93587e-3	0,00	1,59673	169,99	1,04316	795,227
8021,09	9,93646e-3	0,00	1,59637	169,99	1,04404	795,227
8012,67	9,93758e-3	0,00	1,59451	169,99	1,03825	795,227
8018,79	9,93780e-3	0,00	1,59569	169,99	1,03999	795,227
8015,78	9,93820e-3	0,00	1,59503	169,99	1,04296	795,227
8017,86	9,93853e-3	0,00	1,59539	169,99	1,04835	795,227
8011,42	9,93906e-3	0,00	1,59403	169,99	1,04705	795,227
8015,57	9,93917e-3	0,00	1,59483	169,99	1,03657	795,227
8015,58	9,93929e-3	0,00	1,59481	169,99	1,03826	795,227
